,year,amusement and recreation,commercial,communication,conservation and development,educational,health care,highway and street,lodging,power,public safety,sewage and waste disposal,transportation,water supply,residential
0,2002,208150,752371,221932,43536,886422,325430,693388,130422,445326,94101,194855,309719,149397,4815908
1,2003,201975,737951,174353,47116,891867,351877,686917,128544,497283,85948,198629,297189,150325,5402894
2,2004,200172,803629,184749,48434,888886,385808,705339,148362,426577,84018,214836,300213,151658,6444447
3,2005,183210,842973,227371,53482,954901,412961,767472,154077,458746,87404,236836,299505,167876,7546125
4,2006,227878,920076,266808,61193,1020964,461863,861780,217661,506703,93249,278345,334945,179807,7406784
5,2007,254024,1071579,329898,63024,1158168,524699,920714,344469,791459,121800,298514,380361,189329,5966044
6,2008,262259,1036738,318336,62947,1256187,561960,969375,429665,964929,156701,308130,425483,200458,4405549
7,2009,232766,661882,236572,69150,1238951,538659,980094,305987,1059851,165787,298495,437807,186432,3073946
8,2010,202669,481424,212301,85662,1059708,472103,983680,139624,914784,134272,311377,460027,183136,3033902
9,2011,192671,511968,212946,90720,1017230,482342,954406,109554,898077,124692,272704,417778,170172,3028233
10,2012,185682,565217,194163,74679,1014034,509996,962396,130028,1184052,125254,267866,452012,159137,3305811
11,2013,182506,638201,212923,71546,948863,488136,970744,161631,1098707,114053,268036,474120,163630,3949011
12,2014,198534,749058,205763,87748,954734,461016,1008400,193281,1245972,112518,278242,499678,159705,4508327
13,2015,248142,805404,231511,96960,1016319,480295,1067620,252065,1057284,106787,301388,537126,162596,5072939
14,2016,20918,66427,21635,7559,87195,39209,110677,23600,89201,8276,25583,43503,12624,438958
