,Date.Day,Date.Month,Date.Year,Data.Cases,Data.Deaths,Location.Country,Location.Code,Data.Population,Location.Continent,Data.Rate
9,31,12,2019,0,0,Brazil,BRA,211049519,America,0.0
11,31,12,2019,0,0,Canada,CAN,37411038,America,0.0
17,31,12,2019,0,0,Dominican_Republic,DOM,10738957,America,0.0
18,31,12,2019,0,0,Ecuador,ECU,17373657,America,0.0
40,31,12,2019,0,0,Mexico,MEX,127575529,America,0.0
65,31,12,2019,0,0,United_States_of_America,USA,329064917,America,0.0
76,1,1,2020,0,0,Brazil,BRA,211049519,America,0.0
78,1,1,2020,0,0,Canada,CAN,37411038,America,0.0
84,1,1,2020,0,0,Dominican_Republic,DOM,10738957,America,0.0
85,1,1,2020,0,0,Ecuador,ECU,17373657,America,0.0
107,1,1,2020,0,0,Mexico,MEX,127575529,America,0.0
132,1,1,2020,0,0,United_States_of_America,USA,329064917,America,0.0
143,2,1,2020,0,0,Brazil,BRA,211049519,America,0.0
145,2,1,2020,0,0,Canada,CAN,37411038,America,0.0
151,2,1,2020,0,0,Dominican_Republic,DOM,10738957,America,0.0
152,2,1,2020,0,0,Ecuador,ECU,17373657,America,0.0
174,2,1,2020,0,0,Mexico,MEX,127575529,America,0.0
199,2,1,2020,0,0,United_States_of_America,USA,329064917,America,0.0
210,3,1,2020,0,0,Brazil,BRA,211049519,America,0.0
212,3,1,2020,0,0,Canada,CAN,37411038,America,0.0
218,3,1,2020,0,0,Dominican_Republic,DOM,10738957,America,0.0
219,3,1,2020,0,0,Ecuador,ECU,17373657,America,0.0
241,3,1,2020,0,0,Mexico,MEX,127575529,America,0.0
266,3,1,2020,0,0,United_States_of_America,USA,329064917,America,0.0
277,4,1,2020,0,0,Brazil,BRA,211049519,America,0.0
279,4,1,2020,0,0,Canada,CAN,37411038,America,0.0
285,4,1,2020,0,0,Dominican_Republic,DOM,10738957,America,0.0
286,4,1,2020,0,0,Ecuador,ECU,17373657,America,0.0
308,4,1,2020,0,0,Mexico,MEX,127575529,America,0.0
333,4,1,2020,0,0,United_States_of_America,USA,329064917,America,0.0
344,5,1,2020,0,0,Brazil,BRA,211049519,America,0.0
346,5,1,2020,0,0,Canada,CAN,37411038,America,0.0
352,5,1,2020,0,0,Dominican_Republic,DOM,10738957,America,0.0
353,5,1,2020,0,0,Ecuador,ECU,17373657,America,0.0
