,City,Rent
0,Kolkata,10000
1,Kolkata,20000
2,Kolkata,17000
3,Kolkata,10000
4,Kolkata,7500
5,Kolkata,7000
6,Kolkata,10000
7,Kolkata,5000
8,Kolkata,26000
9,Kolkata,10000
10,Kolkata,25000
11,Kolkata,5000
12,Kolkata,6500
13,Kolkata,5500
14,Kolkata,8500
15,Kolkata,40000
16,Kolkata,6000
17,Kolkata,10000
18,Kolkata,11000
19,Kolkata,6000
20,Kolkata,7900
21,Kolkata,9000
22,Kolkata,4000
23,Kolkata,6500
24,Kolkata,8000
25,Kolkata,7000
26,Kolkata,5300
27,Kolkata,6000
28,Kolkata,8500
29,Kolkata,12500
30,Kolkata,7500
31,Kolkata,15000
32,Kolkata,6000
33,Kolkata,5000
34,Kolkata,22000
35,Kolkata,15000
36,Kolkata,12500
37,Kolkata,7000
38,Kolkata,21000
39,Kolkata,10000
40,Kolkata,7200
41,Kolkata,12000
42,Kolkata,5000
43,Kolkata,8500
44,Kolkata,6000
45,Kolkata,10000
46,Kolkata,4600
47,Kolkata,12000
48,Kolkata,30000
49,Kolkata,15000
50,Kolkata,7500
51,Kolkata,7500
52,Kolkata,5000
53,Kolkata,15000
54,Kolkata,11000
55,Kolkata,7000
56,Kolkata,6000
57,Kolkata,6000
58,Kolkata,7000
59,Kolkata,8500
60,Kolkata,5000
61,Kolkata,30000
62,Kolkata,10000
63,Kolkata,30000
64,Kolkata,3500
65,Kolkata,8000
66,Kolkata,5000
67,Kolkata,7500
68,Kolkata,6500
69,Kolkata,7500
70,Kolkata,7500
71,Kolkata,16000
72,Kolkata,16000
73,Kolkata,6500
74,Kolkata,40000
75,Kolkata,12500
76,Kolkata,5500
77,Kolkata,5000
78,Kolkata,6500
79,Kolkata,8000
80,Kolkata,14500
81,Kolkata,8200
82,Kolkata,15000
83,Kolkata,20000
84,Kolkata,6700
85,Kolkata,10000
86,Kolkata,7000
87,Kolkata,22000
88,Kolkata,6500
89,Kolkata,8500
90,Kolkata,18000
91,Kolkata,12000
92,Kolkata,9000
93,Kolkata,6000
94,Kolkata,20000
95,Kolkata,5000
96,Kolkata,12000
97,Kolkata,10000
98,Kolkata,18000
99,Kolkata,15000
100,Kolkata,22000
101,Kolkata,35000
102,Kolkata,21000
103,Kolkata,25000
104,Kolkata,180000
105,Kolkata,6000
106,Kolkata,14000
107,Kolkata,8000
108,Kolkata,8000
109,Kolkata,6000
110,Kolkata,8000
111,Kolkata,6000
112,Kolkata,20000
113,Kolkata,12000
114,Kolkata,15000
115,Kolkata,14000
116,Kolkata,5000
117,Kolkata,7000
118,Kolkata,3900
119,Kolkata,14000
120,Kolkata,6300
121,Kolkata,13000
122,Kolkata,6800
123,Kolkata,8000
124,Kolkata,10000
125,Kolkata,18000
126,Kolkata,8000
127,Kolkata,8000
128,Kolkata,4700
129,Kolkata,4700
130,Kolkata,4500
131,Kolkata,6000
132,Kolkata,16000
133,Kolkata,4700
134,Kolkata,14000
135,Kolkata,9000
136,Kolkata,5000
137,Kolkata,17500
138,Kolkata,8500
139,Kolkata,15000
140,Kolkata,12500
141,Kolkata,13000
142,Kolkata,8000
143,Kolkata,8000
144,Kolkata,8000
145,Kolkata,7000
146,Kolkata,2200
147,Kolkata,8000
148,Kolkata,5500
149,Kolkata,20000
150,Kolkata,7000
151,Kolkata,3500
152,Kolkata,5000
153,Kolkata,20000
154,Kolkata,7000
155,Kolkata,10000
156,Kolkata,7000
157,Kolkata,12000
158,Kolkata,14500
159,Kolkata,6000
160,Kolkata,9500
161,Kolkata,10000
162,Kolkata,3500
163,Kolkata,9000
164,Kolkata,40000
165,Kolkata,16500
166,Kolkata,8000
167,Kolkata,12000
168,Kolkata,6500
169,Kolkata,40000
170,Kolkata,5000
171,Kolkata,9000
172,Kolkata,7000
173,Kolkata,18000
174,Kolkata,9000
175,Kolkata,5500
176,Kolkata,7500
177,Kolkata,4000
178,Kolkata,10500
179,Kolkata,15000
180,Kolkata,15000
181,Kolkata,50000
182,Kolkata,12000
183,Kolkata,11000
184,Kolkata,12000
185,Kolkata,8000
186,Kolkata,18000
187,Kolkata,8000
188,Kolkata,7000
189,Kolkata,6500
190,Kolkata,13000
191,Kolkata,9000
192,Kolkata,10000
193,Kolkata,12000
194,Kolkata,5000
195,Kolkata,6000
196,Kolkata,5200
197,Kolkata,15000
198,Kolkata,9000
199,Kolkata,24000
200,Kolkata,5500
201,Kolkata,10000
202,Kolkata,15000
203,Kolkata,4700
204,Kolkata,5000
205,Kolkata,5000
