,rent_prices,count
0,1500,22
1,4050,133
2,6600,138
3,9150,55
4,11700,55
5,14250,37
6,16800,13
7,19350,19
8,21900,11
9,24450,9
10,27000,0
11,29550,8
12,32100,1
13,34650,9
14,37200,0
15,39750,8
16,42300,0
17,44850,1
18,47400,0
19,49950,1
20,52500,0
21,55050,0
22,57600,1
23,60150,0
24,62700,1
25,65250,0
26,67800,0
27,70350,0
28,72900,0
29,75450,0
30,78000,0
31,80550,0
32,83100,0
33,85650,0
34,88200,0
35,90750,0
36,93300,0
37,95850,0
38,98400,0
39,100950,0
40,103500,0
41,106050,0
42,108600,0
43,111150,0
44,113700,0
45,116250,0
46,118800,0
47,121350,0
48,123900,0
49,126450,0
50,129000,0
51,131550,0
52,134100,0
53,136650,0
54,139200,0
55,141750,0
56,144300,0
57,146850,0
58,149400,0
59,151950,0
60,154500,0
61,157050,0
62,159600,0
63,162150,0
64,164700,0
65,167250,0
66,169800,0
67,172350,0
68,174900,0
69,177450,1
